id,bucket,source,L0_shell,L1_frame,L1_fill,L2_prefill,L3_empty,L4_pieces,L5_ghost,L6_dock,L7_hud,cheerful_1to5,clarity_L4_on_L3,clarity_L4_on_L2,oppressive_1to5,match_our_rules,learn,avoid,notes
ref-A-industrial,A,refs/A-blockblast-dark-well-industrial.jpg,mid-gray ~#6a7380,dark rim,dark unified,none/sparse,near-black blue-gray ~#1a2030,high-sat blue green orange white,n/a,none/weak,gold crown white score,2,5,N/A,4,low,深井托高饱和块,整壳暗沉,清晰标杆但偏严肃
ref-A-yarn-blue,A,refs/A-yarn-blue-shell-dark-well.jpg,mid-blue ~#3d5a9e,dark,dark navy,player multi only,dark navy ~#1a2448,high-sat multi yarn,n/a,weak,white score,3,5,N/A,3,low,纹理统一靠色相分,壳中暗,空盘逻辑
ref-A-candy-purple,A,refs/A-candy-purple-shell-dark-well.jpg,mid-purple ~#6b5bb5,dark purple,deep purple well,player multi only,deep purple ~#2a2450,rainbow high-sat,n/a,weak,white score heart,3,5,N/A,3,low,彩虹块+深井,壳中紫略沉,我们曾对标
ref-A-candy-peri,A,refs/A-candy-periwinkle-dark-well.jpg,light periwinkle ~#8a8ad4,dark,deep navy,player multi only,deep navy,rainbow high-sat,n/a,weak,white score,4,5,N/A,2,low,浅壳+深井=愉快且清晰,空盘,B/A 交界
ref-A-mock-deep,A,refs/A-mock-S2-deep-well.jpg,varies,dark,deep well,varies,deep,pop,n/a,n/a,n/a,2,4,med,4,med,内部深井试错,压抑,mock
ref-B-gingham-pink,B,refs/B-gingham-pink-shell-brown-well.jpg,light pink ~#f2a8bc,dark brown rim,dark brown,player pastel only,dark brown ~#3d282f,soft pink blue mint,n/a,weak,white score,5,5,N/A,1,low,浅壳深槽标杆,空盘无预填单系,轻松首选参照
ref-B-peri-as-B,B,refs/A-candy-periwinkle-dark-well.jpg,light peri,dark,deep navy,player multi,deep navy,candy,n/a,weak,white,4,5,N/A,2,low,壳轻槽深,空盘,兼入B配额
ref-B-kxxxl-fresh,B,ext 开心消消乐 清新明丽,bright fresh scenes,clear panels,n/a,clear,cute colorful,n/a,n/a,clear UI,5,4,N/A,1,low,国区休闲气质,非方块填洞,气质参照
ref-B-pastel-bright-ui,B,ext Figma/pastel joy + hypercasual,high-L pastel shells,light cards,n/a,need step-down L,pastel or pop accents,n/a,n/a,soft type,5,3,N/A,1,med,愉快壳,浅盘易糊须加槽深,方法论+B
ref-C-mock-sky,C,refs/C-mock-sky-coral-mint.jpg,sky blue,white card,white,multi coral mint,cream hole,yellow coral blue,n/a,white tray,soft HUD,5,3,2,1,med,愉快天壳,洞浅预填花,早期偏好向
ref-C-mock-pastel,C,refs/C-mock-multi-pastel-mild.jpg,sky,white,white,multi pastel,light gray,pastel,n/a,white,soft,5,3,2,1,med,轻松,对比中,mock
ref-C-mock-soft-day,C,refs/C-mock-A-soft-day.jpg,soft day,light,light,soft,soft gray,soft,n/a,n/a,n/a,5,3,2,1,med,日间,清晰中,mock
ref-C-mock-cream,C,refs/C-mock-C-warm-cream.jpg,cream,cream,cream,warm,warm gray,warm,n/a,n/a,n/a,5,3,2,1,med,奶油,清晰中,mock
ref-C-mock-flat,C,refs/C-mock-S1-flat-soft.jpg,soft,flat,flat,soft,soft,soft,n/a,n/a,n/a,5,2,2,1,med,过平,失败例,mock
ref-C-ours-sky,C,refs/C-ours-sky-mono-blue.jpg,sky,white,white,mono blue shades,light gray,tray jump,weak ghost,white dock,white HUD,4,2,2,1,high,规则匹配,洞与预填糊,真实工程
ref-C-ours-fog,C,refs/C-ours-fog-blue-cheerful.jpg,fog blue,white,white,mono mid,mid gray,higher sat tray,n/a,dock,HUD,4,3,3,1,high,较平衡,仍非顶尖清晰,工程
ref-C-ours-purple,C,refs/C-ours-purple-prefill-blue.jpg,mid purple,dark purple,dark purple,mono blue shades,darker purple well,pink purple yellow,n/a,dark dock,white HUD,3,3,2,3,high,tray跳,预填蓝贴洞,当前向A
ref-C-batch2,C,refs/C-batch-batch2-*,batch2 mock,varies,varies,varies,varies,varies,n/a,n/a,n/a,4,3,med,2,med,内部迭代,需按帧细分,抽检入库
ref-C-batch8,C,refs/C-batch-batch8-*,flat bg variants,light,light,varies,gray,multi,n/a,n/a,n/a,4,3,med,1,med,扁平面板期,清晰中,抽检
ref-C-batch12,C,refs/C-batch-batch12-*,fresh sky,white,white,multi,gray,fresh,n/a,n/a,n/a,5,3,med,1,med,清爽期,愉快,抽检
ref-C-batch14,C,refs/C-batch-batch14-*,sky+HUD,white,white,multi,gray,multi,n/a,scroll tray,BEST SCORE,4,3,med,1,high,近终局布局,岛安全区,抽检
ref-D-pastel-method,D,ext pastel UI guides,high L low S,light,n/a,soft,pastel accents,n/a,n/a,soft,5,3,N/A,1,med,轻松,须明度阶梯,无实机分层
ref-D-cotton-candy-palette,D,ext Icons8 cotton candy pastel,#FFC3FF #CAE3FF etc,light,n/a,light,pastel pop,n/a,n/a,n/a,5,3,N/A,1,med,开心色相,浅底对比弱,色板非游戏
ref-E-ours-as-structure,E,refs/C-ours-sky-mono-blue.jpg + generator rules,sky,white,white,YES mono family shades,light gray hole,tray banned family,ghost alpha,dock,HUD,4,2,2,1,high,唯一完整结构样本,洞糊,E桶自产
ref-E-ours-fog-struct,E,refs/C-ours-fog-blue-cheerful.jpg,fog,white,white,YES mono mid,mid gray,tray banned,n/a,dock,HUD,4,3,3,1,high,结构完整,清晰中,E桶自产
ref-E-ours-purple-struct,E,refs/C-ours-purple-prefill-blue.jpg,purple,dark,dark,YES mono blue,dark purple,tray jump,n/a,dock,HUD,3,3,2,3,high,结构完整,L2-L3同相,E桶自产
ref-E-fit-it-fill-grid,E,ext Fit It Pix fill-in-grid store,varies bright often,grid board,level shapes / color regions,empty slots,matching color blocks,n/a,tray pieces,score,4,4,3,2,med,填格+色块接近,非单系预填地形,需实机截图复核
ref-E-wood-block-classic,E,ext Wood Block Puzzle store,warm wood or color bg,wood board,usually empty start,light/dark wood cells,wood or color blocks,n/a,3 pieces,score,4,4,N/A,2,low,休闲清晰,多空盘,结构弱匹配
ref-ext-pop-cta,A,ext CrazyLabs hypercasual guide,bright brand,high contrast,n/a,clear,vivid interactive,n/a,n/a,n/a,4,5,N/A,2,med,可点目标高对比,非棋盘,L4启发
